,Unnamed: 0,speech_id,triplet_id,title,date,link,date_character,source,year,text,results_coder_1,results_coder_2
0,1,21,21_37,Speech by President von der Leyen at the College of Europe in Bruges,12/4/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_7487,4-Dec-22,speech,2022,"Third, we have to work with the United States to address some of the most concerning aspects of the law. To my first point. We have to adjust our own rules to make it easier for public investments to power the transition.",prescriptive,prescriptive
1,2,23,23_22,Address by President von der Leyen to the Joint Houses of the Oireachtas,12/1/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_7347,1-Dec-22,speech,2022,"I believe, we have a duty to find it. My contacts with Prime Minister Sunak are encouraging and I trust we can find the way. And one thing is clear: Ireland can always count on the European Union to stand by the Good Friday Agreement.",discretionary,discretionary
2,3,46,46_55,"Speech by Commissioner Reynders on Ã¢Â€ÂœProtecting and strengthening the Rule of Law in the European UnionÃ¢Â€Â at Humboldt University, Berlin",10/27/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_6477,27-Oct-22,speech,2022,"This resulted in Hungary proposing a wider range of remedial measures to address the concerns identified by the Commission. The Hungarian authorities now need to take a number of key implementing steps. Pending that, the Commission considers that the risk for the EU budget remains. 
Following an extension of the deadline, the Council now has until 19 December to decide on this matter.€¯
Hungary has committed to fully inform the Commission about the implementation of the remedial measures by 19 November.",discretionary,discretionary
3,4,59,59_21,Speech by President von der Leyen at the EU Ambassadors Conference 2022,10/12/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_6133,12-Oct-22,speech,2022,"Many countries feel that the global economy and the international system do not work for them. Some have even fallen for Russia's propaganda that is trying to deflect blame for the causes of the energy and food crises. Therefore, all of us in this room must speak up and stand up for the truth.",none,none
4,5,63,63_11,Keynote address by President von der Leyen at the Tallinn Digital Summit,10/10/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_6063,10-Oct-22,speech,2022,"And now, for the very first time in modern European history, this infrastructure has become a target. So the task ahead of us is clear: We need to better protect our lifelines of the world economy. We have carved out five different strands of actions.",prescriptive,prescriptive
5,6,69,69_47,Keynote address by President von der Leyen at the 10th annual Athens Democracy Forum,9/29/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_5885,29-Sep-22,speech,2022,And we should leave the world a better place for the next generations. This is the essence in the long journey of democracy. It is about restoring confidence in our future.,none,none
6,7,70,70_54,Keynote address by President von der Leyen at Princeton University,9/22/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_5723,22-Sep-22,speech,2022,"The fourth principle is, and that follows from it, that the fight against global warming is a global one, a global task. Europe is responsible for 9% of the global emissions. We need everyone on board.",discretionary,discretionary
7,8,76,76_73,2022 State of the Union Address by President von der Leyen,9/14/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_5493,14-Sep-22,speech,2022,"So let's stick to the plan. Let's get the money on the ground.  
Honourable Members,
The future of our children needs both that we invest in sustainability and that we invest sustainably.",discretionary,discretionary
8,9,115,115_48,Speech by President von der Leyen at the Ben-Gurion University of the Negev,6/14/2022,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_3685,14-Jun-22,speech,2022,"Keeping democracy in good health is hard work. But it is worthwhile work. Imperfect though it might be, this is the best thing about democracy.",none,none
9,10,213,213_42,Speech by President von der Leyen at the Opening of the Catholic University's Academic Year,12/19/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_7001,19-Dec-21,speech,2021,"They were first created in the late Middle Ages, when philosophy, science and technology were transforming quickly. And then, they were born again in the 19th century, during the industrial revolution. In both cases €“ and now I quote you: €˜Universities were the by-product of the transition, but also the engine of change.",none,none
